Exercise 2-4: Topocentric satellite motion

   Date         UTC           Az         El      Dist
yyyy/mm/dd  hh:mm:ss.sss     [deg]     [deg]     [km]
1997/01/01  00:06:00.000     151.1      -0.1    3644.9
1997/01/01  00:07:00.000     149.8       3.5    3262.7
1997/01/01  00:08:00.000     148.2       7.7    2884.1
1997/01/01  00:09:00.000     146.0      12.5    2512.4
1997/01/01  00:10:00.000     142.9      18.3    2153.0
1997/01/01  00:11:00.000     138.2      25.6    1814.8
1997/01/01  00:12:00.000     130.3      34.8    1514.1
1997/01/01  00:13:00.000     115.6      45.8    1278.8
1997/01/01  00:14:00.000      86.8      54.9    1151.0
1997/01/01  00:15:00.000      48.4      53.7    1167.0
1997/01/01  00:16:00.000      23.0      43.6    1321.7
1997/01/01  00:17:00.000      10.1      32.9    1574.2
1997/01/01  00:18:00.000       3.1      24.2    1884.9
1997/01/01  00:19:00.000     358.8      17.3    2228.7
1997/01/01  00:20:00.000     356.0      11.7    2591.4
1997/01/01  00:21:00.000     354.1       7.1    2965.0
1997/01/01  00:22:00.000     352.6       3.1    3344.7
1997/01/01  00:23:00.000     351.6      -0.5    3727.3
1997/01/01  00:24:00.000     350.7      -3.7    4111.0
