Exercise 4-3: Step size control of DE multistep method

  Step       t           h          r 
    1    0.000002    0.000002     0.100
    2    0.000005    0.000002     0.100
    3    0.000010    0.000005     0.100
    4    0.000020    0.000010     0.100
    5    0.000040    0.000020     0.100
    6    0.000080    0.000040     0.100
    7    0.000120    0.000040     0.100
    8    0.000160    0.000040     0.100
    9    0.000240    0.000080     0.100
   10    0.000400    0.000160     0.100
   11    0.000560    0.000160     0.100
   12    0.000720    0.000160     0.100
   13    0.000880    0.000160     0.100
   14    0.001199    0.000320     0.100
   15    0.001519    0.000320     0.100
   16    0.001839    0.000320     0.100
   17    0.002159    0.000320     0.100
   18    0.002479    0.000320     0.100
   19    0.003119    0.000640     0.100
   20    0.003758    0.000640     0.101
   21    0.004398    0.000640     0.101
   22    0.005038    0.000640     0.101
   23    0.005677    0.000640     0.101
   24    0.006317    0.000640     0.102
   25    0.006957    0.000640     0.102
   26    0.007596    0.000640     0.103
   27    0.008876    0.001279     0.103
   28    0.010155    0.001279     0.105
   29    0.011435    0.001279     0.106
   30    0.012714    0.001279     0.107
   31    0.013993    0.001279     0.108
   32    0.015273    0.001279     0.110
   33    0.016552    0.001279     0.111
   34    0.017832    0.001279     0.113
   35    0.019111    0.001279     0.115
   36    0.020390    0.001279     0.117
   37    0.021670    0.001279     0.119
   38    0.022949    0.001279     0.121
   39    0.024228    0.001279     0.123
   40    0.025508    0.001279     0.125
   41    0.026787    0.001279     0.127
   42    0.028067    0.001279     0.129
   43    0.029346    0.001279     0.132
   44    0.030625    0.001279     0.134
   45    0.031905    0.001279     0.136
   46    0.034464    0.002559     0.141
   47    0.036767    0.002303     0.145
   48    0.039069    0.002303     0.150
   49    0.041372    0.002303     0.155
   50    0.043675    0.002303     0.159
   51    0.045978    0.002303     0.164
   52    0.048281    0.002303     0.169
   53    0.050584    0.002303     0.173
   54    0.052887    0.002303     0.178
   55    0.055190    0.002303     0.183
   56    0.057493    0.002303     0.187
   57    0.059796    0.002303     0.192
   58    0.062099    0.002303     0.197
   59    0.064401    0.002303     0.202
   60    0.066704    0.002303     0.206
   61    0.069007    0.002303     0.211
   62    0.071310    0.002303     0.216
   63    0.073613    0.002303     0.221
   64    0.075916    0.002303     0.225
   65    0.078219    0.002303     0.230
   66    0.080522    0.002303     0.235
   67    0.082825    0.002303     0.239
   68    0.085128    0.002303     0.244
   69    0.089733    0.004606     0.253
   70    0.094339    0.004606     0.262
   71    0.098945    0.004606     0.271
   72    0.103551    0.004606     0.280
   73    0.108157    0.004606     0.289
   74    0.112762    0.004606     0.298
   75    0.117368    0.004606     0.306
   76    0.121974    0.004606     0.315
   77    0.126580    0.004606     0.323
   78    0.131186    0.004606     0.332
   79    0.135792    0.004606     0.340
   80    0.140397    0.004606     0.348
   81    0.145003    0.004606     0.357
   82    0.149609    0.004606     0.365
   83    0.154215    0.004606     0.373
   84    0.158821    0.004606     0.381
   85    0.163426    0.004606     0.388
   86    0.168032    0.004606     0.396
   87    0.172638    0.004606     0.404
   88    0.177244    0.004606     0.412
   89    0.186455    0.009212     0.427
   90    0.195667    0.009212     0.442
   91    0.204879    0.009212     0.456
   92    0.214090    0.009212     0.471
   93    0.223302    0.009212     0.485
   94    0.232514    0.009212     0.499
   95    0.241725    0.009212     0.512
   96    0.250937    0.009212     0.526
   97    0.260149    0.009212     0.539
   98    0.269360    0.009212     0.552
   99    0.278572    0.009212     0.565
  100    0.287783    0.009212     0.578
  101    0.296995    0.009212     0.591
  102    0.306207    0.009212     0.603
  103    0.315418    0.009212     0.615
  104    0.324630    0.009212     0.627
  105    0.333842    0.009212     0.639
  106    0.343053    0.009212     0.651
  107    0.352265    0.009212     0.663
  108    0.361476    0.009212     0.674
  109    0.379900    0.018423     0.697
  110    0.398323    0.018423     0.719
