Exercise 6-4: Tropospheric Refraction

E0 [deg]     23.363

   Date         UTC          E-E0      dE_t1     dE_t2 
yyyy/mm/dd  hh:mm:ss.sss     [deg]     [deg]     [deg]
1997/01/01  00:00:00.000     0.000     0.051     0.043
1997/01/01  03:00:00.000     0.021     0.051     0.042
1997/01/01  06:00:00.000     0.031     0.051     0.042
1997/01/01  09:00:00.000     0.024     0.051     0.042
1997/01/01  12:00:00.000     0.004     0.051     0.043
1997/01/01  15:00:00.000    -0.017     0.051     0.043
1997/01/01  18:00:00.000    -0.027     0.051     0.043
1997/01/01  21:00:00.000    -0.020     0.051     0.043
1997/01/02  00:00:00.000    -0.001     0.051     0.043
