Exercise 7-1: State transition matrix

  Time [s]  Error (J2)  Error(Kep)
    300.00      0.00        0.00
    600.00      0.00        0.00
    900.00      0.00        0.00
   1200.00      0.00        0.01
   1500.00      0.00        0.01
   1800.00      0.00        0.02
   2100.00      0.00        0.02
   2400.00      0.00        0.03
   2700.00      0.00        0.05
   3000.00      0.00        0.07
   3300.00      0.00        0.06
   3600.00      0.00        0.04
   3900.00      0.00        0.05
   4200.00      0.00        0.05
   4500.00      0.00        0.04
   4800.00      0.00        0.03
   5100.00      0.00        0.03
   5400.00      0.00        0.03
   5700.00      0.00        0.04
   6000.00      0.00        0.04
   6300.00      0.00        0.04
   6600.00      0.00        0.04
   6900.00      0.00        0.04
   7200.00      0.00        0.06
   7500.00      0.00        0.08
   7800.00      0.00        0.09
   8100.00      0.00        0.08
   8400.00      0.00        0.12
   8700.00      0.01        0.18
   9000.00      0.01        0.18
   9300.00      0.00        0.12
   9600.00      0.00        0.10
   9900.00      0.00        0.12
  10200.00      0.00        0.11
  10500.00      0.00        0.08
  10800.00      0.00        0.06
  11100.00      0.00        0.07
  11400.00      0.00        0.07
  11700.00      0.00        0.08
  12000.00      0.00        0.07
  12300.00      0.00        0.07
  12600.00      0.00        0.07
  12900.00      0.00        0.08
  13200.00      0.00        0.14
  13500.00      0.00        0.16
  13800.00      0.00        0.13
  14100.00      0.00        0.17
  14400.00      0.01        0.27
  14700.00      0.01        0.32
  15000.00      0.00        0.26
  15300.00      0.00        0.16
  15600.00      0.00        0.17
  15900.00      0.00        0.19
  16200.00      0.00        0.15
  16500.00      0.00        0.10
  16800.00      0.00        0.10
  17100.00      0.01        0.11
  17400.00      0.01        0.11
  17700.00      0.01        0.11
  18000.00      0.01        0.11
  18300.00      0.00        0.11
  18600.00      0.00        0.11
  18900.00      0.00        0.16
  19200.00      0.00        0.22
  19500.00      0.00        0.22
  19800.00      0.00        0.19
  20100.00      0.00        0.31
  20400.00      0.01        0.43
  20700.00      0.01        0.43
  21000.00      0.00        0.29
  21300.00      0.00        0.22
  21600.00      0.00        0.26
  21900.00      0.00        0.25
  22200.00      0.01        0.17
  22500.00      0.01        0.13
  22800.00      0.01        0.15
  23100.00      0.01        0.14
  23400.00      0.01        0.15
  23700.00      0.01        0.14
  24000.00      0.01        0.15
  24300.00      0.01        0.13
  24600.00      0.01        0.16
  24900.00      0.01        0.26
  25200.00      0.00        0.30
  25500.00      0.00        0.25
  25800.00      0.00        0.31
  26100.00      0.00        0.49
  26400.00      0.00        0.58
  26700.00      0.00        0.48
  27000.00      0.00        0.28
  27300.00      0.00        0.30
  27600.00      0.01        0.34
  27900.00      0.01        0.28
  28200.00      0.01        0.18
  28500.00      0.01        0.17
  28800.00      0.01        0.19
  29100.00      0.02        0.18
  29400.00      0.02        0.18
  29700.00      0.01        0.18
  30000.00      0.01        0.19
  30300.00      0.01        0.19
  30600.00      0.01        0.26
  30900.00      0.01        0.36
  31200.00      0.01        0.36
  31500.00      0.01        0.31
  31800.00      0.00        0.48
  32100.00      0.00        0.69
  32400.00      0.00        0.68
  32700.00      0.01        0.47
  33000.00      0.01        0.34
  33300.00      0.01        0.40
  33600.00      0.02        0.39
  33900.00      0.02        0.27
  34200.00      0.02        0.21
  34500.00      0.02        0.23
  34800.00      0.02        0.22
  35100.00      0.03        0.22
  35400.00      0.03        0.21
  35700.00      0.02        0.23
  36000.00      0.02        0.20
  36300.00      0.02        0.23
  36600.00      0.02        0.38
  36900.00      0.02        0.45
  37200.00      0.01        0.38
  37500.00      0.01        0.44
  37800.00      0.01        0.71
  38100.00      0.01        0.85
  38400.00      0.01        0.72
  38700.00      0.01        0.42
  39000.00      0.02        0.42
  39300.00      0.02        0.49
  39600.00      0.03        0.41
  39900.00      0.03        0.26
  40200.00      0.02        0.24
  40500.00      0.03        0.27
  40800.00      0.04        0.25
  41100.00      0.04        0.25
  41400.00      0.03        0.27
  41700.00      0.02        0.27
  42000.00      0.03        0.26
  42300.00      0.03        0.36
  42600.00      0.03        0.50
  42900.00      0.02        0.51
  43200.00      0.02        0.45
  43500.00      0.02        0.65
  43800.00      0.02        0.94
  44100.00      0.02        0.95
  44400.00      0.02        0.67
  44700.00      0.02        0.48
  45000.00      0.03        0.55
  45300.00      0.04        0.54
  45600.00      0.04        0.38
  45900.00      0.04        0.29
  46200.00      0.03        0.31
  46500.00      0.04        0.31
  46800.00      0.05        0.28
  47100.00      0.05        0.29
  47400.00      0.03        0.32
  47700.00      0.03        0.28
  48000.00      0.04        0.31
  48300.00      0.04        0.50
  48600.00      0.03        0.60
  48900.00      0.02        0.52
  49200.00      0.02        0.57
  49500.00      0.03        0.93
  49800.00      0.03        1.13
  50100.00      0.03        0.97
  50400.00      0.03        0.58
  50700.00      0.03        0.55
  51000.00      0.05        0.65
