GEO Orbit Determination Error Analysis



  Setup parameters:

  Subsatellite longitude [deg]                   : -72.000
  Station 1 (lon [deg], lat [deg], alt [m])      : -58.700  -34.400    0.000
  Angles (noise & bias [deg], step [h], est.bias):   0.020    0.050    0.100  1
  Range (noise & bias [deg], step [h], est.bias) :   2.000   20.000    3.000  0
  Station 2 (lon [deg], lat [deg], alt [m])      : -64.600   31.600 1000.000
  Angles (noise & bias [deg], step [h], est.bias):   0.020    0.050    0.000  0
  Range (noise & bias [deg], step [h], est.bias) :   2.000   20.000    0.000  0
  Tracking interval [h]                          :  24.000
  Prediction interval [h]                        : 336.000

Epoch state standard deviation (unmodelled effects ignored)

  Position (xyz)      104.11    368.87   1073.92 [m]
  Velocity (xyz)     0.02338   0.00757   0.07849 [m/s]

  Semi-major axis       8.53 [m]

Epoch state standard deviation (including unmodelled effects)

  Position (xyz)      104.11    716.59   1073.92 [m]
  Velocity (xyz)     0.05053   0.00757   0.07849 [m/s]

  Semi-major axis       8.53 [m]

Position/velocity standard deviation (including unmodelled effects)

                   Position                      Velocity         
  Time    radial     tang     normal    radial     tang     normal
   [h]      [m]       [m]       [m]      [m/s]     [m/s]     [m/s]
   0.0     104.1     716.6    1073.9    0.0505    0.0076    0.0785
   3.0     104.3     711.4    1075.4    0.0502    0.0076    0.0784
   6.0     104.4     706.2    1076.4    0.0498    0.0076    0.0783
   9.0     104.1     701.8    1074.9    0.0495    0.0076    0.0784
  12.0     104.0     698.3    1073.9    0.0492    0.0076    0.0785
  15.0     104.1     695.3    1075.4    0.0490    0.0076    0.0784
  18.0     104.2     692.6    1076.4    0.0488    0.0076    0.0783
  21.0     104.1     689.7    1074.9    0.0485    0.0076    0.0784
  24.0     104.1     686.3    1073.9    0.0483    0.0076    0.0785
  27.0     104.3     682.3    1075.4    0.0480    0.0076    0.0784
  30.0     104.4     678.4    1076.4    0.0477    0.0076    0.0783
  33.0     104.1     675.2    1074.9    0.0475    0.0076    0.0784
  36.0     104.0     672.7    1073.9    0.0473    0.0076    0.0785
  39.0     104.1     670.6    1075.5    0.0471    0.0076    0.0784
  42.0     104.2     668.7    1076.4    0.0469    0.0076    0.0783
  45.0     104.1     666.7    1074.9    0.0468    0.0076    0.0784
  48.0     104.1     664.4    1073.9    0.0466    0.0076    0.0785
  51.0     104.3     661.7    1075.5    0.0464    0.0076    0.0784
  54.0     104.4     659.3    1076.4    0.0463    0.0076    0.0783
  57.0     104.1     657.5    1074.9    0.0461    0.0076    0.0784
  60.0     104.0     656.1    1073.9    0.0460    0.0076    0.0785
  63.0     104.1     654.9    1075.5    0.0459    0.0076    0.0784
  66.0     104.2     653.8    1076.4    0.0458    0.0076    0.0783
  69.0     104.1     652.9    1074.8    0.0458    0.0076    0.0784
  72.0     104.1     651.8    1074.0    0.0457    0.0076    0.0785
  75.0     104.3     650.7    1075.5    0.0456    0.0076    0.0784
  78.0     104.4     649.8    1076.4    0.0455    0.0076    0.0783
  81.0     104.1     649.3    1074.8    0.0455    0.0076    0.0784
  84.0     104.0     649.1    1074.0    0.0455    0.0076    0.0785
  87.0     104.1     648.8    1075.5    0.0455    0.0076    0.0784
  90.0     104.2     648.8    1076.4    0.0455    0.0076    0.0783
  93.0     104.1     648.9    1074.8    0.0455    0.0076    0.0784
  96.0     104.1     649.2    1074.0    0.0455    0.0076    0.0785
  99.0     104.4     649.5    1075.6    0.0455    0.0076    0.0784
 102.0     104.4     650.2    1076.4    0.0456    0.0076    0.0783
 105.0     104.1     651.2    1074.8    0.0456    0.0076    0.0784
 108.0     104.0     652.1    1074.0    0.0457    0.0076    0.0785
 111.0     104.1     652.8    1075.6    0.0458    0.0076    0.0784
 114.0     104.2     653.7    1076.4    0.0458    0.0076    0.0783
 117.0     104.1     654.9    1074.8    0.0459    0.0076    0.0784
 120.0     104.1     656.5    1074.0    0.0460    0.0076    0.0785
 123.0     104.4     658.3    1075.6    0.0462    0.0076    0.0784
 126.0     104.4     660.6    1076.4    0.0463    0.0076    0.0783
 129.0     104.1     662.9    1074.7    0.0465    0.0076    0.0784
 132.0     104.0     664.9    1074.0    0.0467    0.0076    0.0785
 135.0     104.1     666.6    1075.6    0.0468    0.0076    0.0784
 138.0     104.2     668.3    1076.4    0.0470    0.0076    0.0783
 141.0     104.1     670.6    1074.7    0.0471    0.0076    0.0784
 144.0     104.1     673.4    1074.0    0.0473    0.0076    0.0785
 147.0     104.4     676.7    1075.7    0.0476    0.0076    0.0784
 150.0     104.4     680.4    1076.4    0.0478    0.0076    0.0783
 153.0     104.1     684.0    1074.7    0.0481    0.0076    0.0784
 156.0     104.0     687.1    1074.0    0.0483    0.0076    0.0785
 159.0     104.1     689.5    1075.7    0.0485    0.0076    0.0784
 162.0     104.2     692.1    1076.3    0.0488    0.0076    0.0783
 165.0     104.1     695.3    1074.7    0.0490    0.0076    0.0784
 168.0     104.1     699.3    1074.0    0.0493    0.0076    0.0785
 171.0     104.4     704.0    1075.7    0.0496    0.0076    0.0784
 174.0     104.4     708.9    1076.3    0.0500    0.0076    0.0783
