GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.5 m
 State noise velocity: 0.0005 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
   300.0  -2249237.1  3370124.8 -5867671.8   72.3  173.1   72.2  0.740  5.506  0.293   97.4 6127.7  120.5
   600.0  -2411673.5  1317003.1 -6577762.2   13.5  172.3   14.5  0.497  0.798  0.199  109.7  886.8  172.0
   900.0  -2431847.2  -860282.6 -6642858.1   48.4  157.6   38.6  0.272  0.407  0.111   94.7  459.4   60.5
  1200.0  -2308577.7 -2955968.8 -6055956.1   25.6  144.4   28.1  0.499  0.264  0.079   70.7  297.7  131.4
  1500.0  -2045458.7 -4771365.2 -4873456.4   53.2  133.5   40.2  0.290  0.196  0.076   54.7  213.2  125.3
  1800.0  -1651584.6 -6133825.9 -3210292.6   61.9  124.3   58.3  0.359  0.159  0.100   55.7  160.8  139.4
  2100.0  -1142303.0 -6913525.1 -1229659.5  253.6  116.4  106.4  1.499  0.139  0.072   59.6  124.7   69.6
  3152.0   1158082.9 -4558220.6  5327967.2  497.4* 307.9  172.2  6.794  0.354  0.238 1621.6  124.1   69.7
  3460.0   1817164.9 -2662874.0  6333611.1   51.9  125.4   43.9  0.495  0.134  0.130   82.3   53.8   22.0
  3760.0   2365879.4  -576306.5  6678530.5   85.8  103.1   31.2  0.490  0.117  0.115  127.2   40.5    2.4
  4060.0   2774509.7  1545886.2  6363213.0  103.0   92.9   64.6  0.745  0.110  0.115    4.9   32.2   17.0
  4360.0   3000282.5  3502606.4  5419295.3   59.4   88.0   86.3  0.149  0.102  0.102    3.0   26.1   16.9
  4660.0   3009929.1  5110799.9  3940224.2   38.8   85.6   83.5  0.282  0.094  0.074   64.1   21.5    2.7
  4960.0   2784087.3  6222804.6  2072187.2  679.4* 103.5  100.4  5.597  0.103  0.078   38.3   21.6    7.0
  5260.0   2321139.7  6740235.7     -392.1   47.6   91.3   68.7  0.112  0.086  0.033    5.4   16.5    2.9
  5560.0   1639757.1  6623001.9 -2072961.7   46.7   83.6   52.5  0.405  0.077  0.022   71.8   13.6    5.7
  5860.0    779553.9  5892204.5 -3941503.9   30.8   77.4   39.5  2.949  0.072  0.038  166.4   11.7    5.1
  6160.0   -200415.7  4626738.2 -5422749.7   19.2   72.2   24.4  0.946  0.070  0.048  159.8   10.3    5.4
  6460.0  -1225156.1  2954342.7 -6371878.2   46.4   67.9   13.3  0.366  0.069  0.052   73.4    9.3    5.2
