GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            60.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.0 m
 State noise velocity: 0.0000 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
   300.0  -2249237.1  3370124.8 -5867671.8   72.3  173.1   72.2  0.740  5.506  0.293   97.4 6127.7  119.0
   600.0  -2411673.5  1317003.1 -6577762.2   13.5  172.3   14.5  0.497  0.798  0.199  109.7  886.8  173.7
   900.0  -2431847.2  -860282.6 -6642858.1   48.4  157.6   38.6  0.272  0.407  0.111   94.7  459.4   62.1
  1200.0  -2308577.7 -2955968.8 -6055956.1   25.6  144.4   28.1  0.499  0.264  0.080   70.7  297.7  133.0
  1500.0  -2045458.7 -4771365.2 -4873456.4   53.2  133.5   40.2  0.290  0.196  0.076   54.7  213.2  126.9
  1800.0  -1651584.7 -6133825.9 -3210292.7   61.9  124.3   58.3  0.359  0.159  0.100   55.7  160.8  141.0
  2100.0  -1142303.1 -6913525.1 -1229659.6  253.6  116.4  106.4  1.499  0.139  0.072   59.6  124.6   71.2
  3152.0   1158082.8 -4558220.6  5327967.0  497.4* 307.8  172.2  6.794  0.354  0.238 1621.6  124.0   71.0
  3460.0   1817164.8 -2662874.0  6333610.9   51.9  125.4   43.9  0.495  0.134  0.130   82.3   53.7   23.3
  3760.0   2365879.4  -576306.5  6678530.4   85.8  103.1   31.2  0.490  0.117  0.115  127.2   40.5    3.7
  4060.0   2774509.6  1545886.1  6363212.9  103.0   92.9   64.5  0.745  0.110  0.115    4.9   32.1   18.3
  4360.0   3000282.4  3502606.3  5419295.2   59.4   88.0   86.2  0.149  0.102  0.102    3.0   26.0   18.1
  4660.0   3009929.0  5110799.7  3940224.1   38.8   85.5   83.5  0.282  0.094  0.073   64.1   21.3    3.9
  4960.0   2784087.2  6222804.3  2072187.1  679.4* 103.5  100.3  5.597  0.103  0.077   38.3   21.3    8.2
  5260.0   2321139.6  6740235.4     -392.1   47.6   91.2   68.7  0.112  0.086  0.032    5.4   16.1    1.7
  5560.0   1639757.0  6623001.6 -2072961.7   46.7   83.5   52.5  0.405  0.077  0.022   71.8   13.1    4.6
  5860.0    779553.8  5892204.0 -3941503.7   30.8   77.3   39.5  2.949  0.072  0.038  166.4   11.0    4.0
  6160.0   -200415.7  4626737.7 -5422749.3   19.2   72.1   24.6  0.946  0.070  0.048  159.8    9.5    4.4
  6460.0  -1225156.1  2954342.2 -6371877.7   46.4   67.7   13.8  0.366  0.068  0.052   73.4    8.4    4.3
  6760.0  -2209122.4  1038296.9 -6696174.6   76.3   64.3   13.7  0.265  0.067  0.055   82.2    7.5    0.6
  7060.0  -3063104.8  -938636.3 -6363557.4   46.7   61.9   28.4  0.447  0.065  0.049   27.7    6.8    6.8
  7360.0  -3702032.2 -2791254.9 -5405656.2   20.3   60.5   35.6  0.205  0.062  0.036   83.1    6.2    1.7
  7660.0  -4053460.6 -4349103.6 -3915254.7   65.2   59.5   44.5  0.219  0.059  0.025   94.6    5.8    4.3
  7960.0  -4065888.3 -5472269.8 -2038046.4   67.4   58.5   50.4  0.202  0.055  0.010   69.9    5.4    3.1
  8260.0  -3715923.5 -6064494.2    41009.5   45.4   57.2   41.7  0.487  0.053  0.008   56.3    5.2    3.2
  8560.0  -3013144.3 -6082151.5  2115945.3   18.9   55.5   35.7  0.904  0.051  0.021   44.9    4.9    0.8
  8860.0  -2001751.3 -5537633.1  3980748.8   34.4   53.4   22.5  0.346  0.050  0.032   37.7    4.8    3.5
  9160.0   -758382.2 -4496737.2  5450469.1   32.3   51.4   13.0  0.947  0.050  0.033   33.1    4.6    4.6
  9460.0    613636.9 -3070490.3  6379921.2   81.1   49.6    4.3  0.383  0.050  0.036   47.2    4.5    0.5
  9760.0   1993097.9 -1402667.2  6677908.1   81.5   48.5    3.9  0.514  0.050  0.037  138.7    4.4    4.5
 10060.0   3251703.5   345138.8  6315728.1   45.2   48.1   13.1  1.218  0.050  0.036  144.6    4.3    2.8
 10360.0   4266075.8  2009374.5  5329663.6   66.5   48.2   26.5  0.648  0.049  0.037  140.2    4.2    3.4
 10660.0   4929941.1  3439898.5  3817303.3   38.7   48.7   32.8  0.571  0.048  0.030   82.2    4.0    1.5
 10960.0   5165398.7  4513585.1  1928081.0   97.2   49.1   39.6  0.214  0.047  0.030   19.8    3.8    2.1
 11260.0   4932121.0  5145043.1  -151426.5   58.5   49.2   39.4  0.421  0.046  0.024   67.8    3.6    2.2
 11560.0   4233167.6  5293346.4 -2216063.5  149.7   48.8   32.9  0.513  0.045  0.010   65.0    3.4    3.2
 11860.0   3116531.9  4964058.3 -4062610.4   75.9   48.1   31.1  1.131  0.045  0.017    0.9    3.3    2.6
 12160.0   1672021.2  4206480.0 -5509971.1   64.9   47.1   28.6  0.265  0.045  0.026   23.2    3.1    1.9
 12460.0     23950.8  3106735.3 -6416654.9   88.0   46.0   29.8  0.273  0.045  0.038   23.1    3.0    4.4
 12760.0  -1679578.7  1777857.2 -6694072.6   77.9   45.0   29.2  0.343  0.045  0.044   84.1    2.9    0.2
 13060.0  -3279823.1   348117.9 -6314693.3   41.2   44.3   30.3  0.675  0.044  0.049   90.4    2.8    4.1
 13360.0  -4621877.3 -1051151.6 -5314699.9   36.3   43.7   30.6  0.140  0.043  0.047   52.1    2.7    2.5
 13660.0  -5569585.4 -2297408.1 -3791026.6   47.2   43.3   31.7  0.321  0.042  0.039   21.0    2.6    5.4
 13960.0  -6019674.4 -3287582.1 -1892736.8   64.6   42.9   36.0  0.265  0.041  0.031   35.5    2.5    2.4
 14260.0  -5913612.5 -3946744.7   193041.2   41.9   42.4   38.5  0.370  0.040  0.025   32.0    2.4    3.4
 14560.0  -5245483.2 -4233883.4  2259615.7   70.8   41.6   40.4  0.896  0.039  0.024   65.8    2.3    3.3
 14860.0  -4064491.2 -4144032.8  4101793.3   60.3   40.7   39.2  0.170  0.039  0.022   85.6    2.2    2.2
 15160.0  -2471439.7 -3706541.3  5536919.8  117.2   39.7   40.9  1.458  0.039  0.040   56.7    2.2    3.1
 15460.0   -609679.7 -2979883.0  6423282.0   46.2   38.9   36.2  0.348  0.039  0.048   85.0    2.2    0.3
 15760.0   1348407.4 -2043989.3  6673968.9   15.4   38.3   33.4  0.210  0.039  0.051    3.9    2.2    6.8
 16060.0   3217719.4  -991223.6  6264949.0   66.1   38.1   32.8  0.440  0.039  0.048   67.9    2.1    3.6
 16360.0   4818033.1    82842.3  5237089.0   34.4   38.2   34.3  0.420  0.038  0.045   58.7    2.1    3.8
 16660.0   5991513.4  1088094.8  3692090.9   42.9   38.4   35.4  0.772  0.038  0.039   25.7    2.0    2.0
 16960.0   6618548.0  1947306.9  1782594.7   49.0   38.7   36.6  0.183  0.037  0.030   34.8    2.0    6.8
 17260.0   6630321.9  2601782.7  -302820.2   43.0   38.9   39.5  0.383  0.037  0.030   96.4    1.9    1.9
 17560.0   6016563.9  3014809.0 -2358426.8   37.7   38.8   37.2  0.740  0.037  0.027   80.2    1.8    2.8
 17860.0   4827334.7  3172682.1 -4181954.8   71.0   38.5   31.0  0.112  0.037  0.023   40.4    1.8    0.6
 18160.0   3168629.2  3083357.8 -5594600.9   35.3   38.1   26.3  0.259  0.036  0.022   23.7    1.7    3.3
 18460.0   1192463.6  2773180.4 -6458280.9   67.8   37.5   18.8  0.284  0.036  0.026   47.7    1.7    0.8
 18760.0   -917327.6  2282396.0 -6688579.3   71.5   37.0   15.4  0.485  0.036  0.027  107.7    1.7    0.7
 19060.0  -2962051.1  1660171.5 -6262527.1   43.6   36.6   13.7  0.301  0.036  0.031  126.7    1.6    3.2
 19360.0  -4746554.6   959731.2 -5220850.0   33.5   36.3   20.3  0.157  0.036  0.032   89.7    1.6    2.3
 19660.0  -6097683.4   234023.2 -3664613.3   87.1   36.0   20.6  0.739  0.035  0.023    8.3    1.6    3.7
 19960.0  -6881501.6  -467899.9 -1746153.6   20.1   35.8   25.2  0.336  0.034  0.018    4.5    1.5    2.2
 20260.0  -7017408.5 -1103622.4   345304.7   54.4   35.5   30.4  0.819  0.034  0.011   26.6    1.5    3.3
 20560.0  -6487317.6 -1639178.2  2402444.4   39.4   35.0   28.5  0.443  0.033  0.005   34.7    1.4    1.8
 20860.0  -5338299.7 -2049856.8  4221003.9   11.8   34.5   25.7  0.814  0.033  0.010   67.7    1.4    0.9
 21160.0  -3678183.1 -2320037.2  5620705.3   39.1   33.9   21.6  1.196  0.033  0.014   66.0    1.4    1.2
 21460.0  -1664698.5 -2442321.6  6463397.0   16.1   33.4   16.3  0.185  0.033  0.018   70.0    1.4    3.7
 21760.0    510279.4 -2416296.3  6666509.6   72.8   33.0   11.5  0.078  0.033  0.020   57.7    1.4    0.7
 22060.0   2639490.4 -2247330.7  6210714.0   62.4   32.8   13.2  0.399  0.033  0.024   54.4    1.4    2.3
 22360.0   4520189.9 -1945712.8  5141467.0   65.7   32.8   18.4  0.339  0.033  0.026   82.7    1.4    2.2
 22660.0   5973546.0 -1526292.5  3564533.5    4.8   33.0   23.5  0.169  0.032  0.028   54.7    1.3    2.7
 22960.0   6861942.8 -1008510.7  1635702.0   28.6   33.2   28.0  0.332  0.032  0.028   32.9    1.3    1.9
 23260.0   7102427.4  -416625.8  -454544.8   31.3   33.4   33.7  0.174  0.032  0.028    9.6    1.2    1.1
 23560.0   6674756.3   220142.7 -2500032.6   29.2   33.4   36.6  0.287  0.032  0.024    5.6    1.2    1.2
 23860.0   5622973.6   867793.7 -4299524.1   20.8   33.2   37.1  0.320  0.032  0.019    5.7    1.2    2.3
 24160.0   4050400.9  1488238.8 -5676612.1   31.9   32.9   35.6  0.279  0.032  0.017   27.8    1.1    1.9
 24460.0   2108887.4  2040609.1 -6496710.8   39.1   32.5   30.6  0.428  0.032  0.017   24.1    1.1    2.2
 24760.0    -16184.7  2483267.3 -6679635.6   72.8   32.2   25.1  0.565  0.032  0.019   11.6    1.1    2.6
 25060.0  -2123517.9  2776568.1 -6207003.5   54.7   31.9   19.1  0.621  0.031  0.027   68.2    1.1    0.4
 25360.0  -4014657.7  2886311.7 -5124092.1   73.6   31.7   12.0  0.541  0.031  0.030   65.2    1.1    2.1
 25660.0  -5512506.0  2787688.4 -3536042.9    6.2   31.6    9.0  0.221  0.031  0.034    0.8    1.1    1.4
 25960.0  -6478241.3  2469306.3 -1598413.0   63.1   31.5   14.2  0.322  0.030  0.034   56.1    1.1    0.5
 26260.0  -6824991.4  1936635.8   497600.9   25.5   31.3   22.2  0.493  0.030  0.030   31.6    1.0    0.5
 26560.0  -6526491.4  1214151.0  2544177.8   64.1   31.0   30.3  0.338  0.030  0.024   21.5    1.0    0.3
 26860.0  -5619334.9   345580.2  4338108.0   43.2   30.6   35.5  0.764  0.030  0.016   54.3    1.0    0.0
 27160.0  -4198426.2  -607992.2  5701605.9   22.0   30.2   37.0  1.622  0.030  0.014   45.2    1.0    1.1
 27460.0  -2406389.9 -1572075.4  6500154.6   58.2   29.8   33.6  7.942  0.029  0.026   57.8    1.0    1.6
 27760.0   -418544.7 -2464449.9  6655562.3   19.9   29.5   27.2  0.251  0.029  0.039   83.0    1.0    2.5
 28060.0   1574736.6 -3202128.4  6153212.1   51.4   29.4   22.4  0.227  0.029  0.042   40.7    1.0    1.3
 28360.0   3386405.3 -3709072.3  5043142.9   41.4   29.4   21.1  0.147  0.029  0.043    9.5    1.0    1.0
 28660.0   4850330.7 -3924081.0  3435129.4  146.0   29.5   27.6  0.952  0.029  0.041   10.7    1.0    2.4
 28960.0   5836747.1 -3808113.6  1488012.5   82.0   29.7   33.0  0.243  0.029  0.033   15.4    0.9    0.6
 29260.0   6264018.3 -3350055.3  -605934.3   29.0   29.8   38.4  0.767  0.029  0.027   20.5    0.9    0.8
 29560.0   6105471.8 -2570062.9 -2640205.8   40.4   29.8   42.2  0.582  0.029  0.018   34.5    0.9    2.6
 29860.0   5390480.2 -1519838.2 -4414724.2   44.6   29.7   43.0  0.326  0.028  0.013   17.9    0.9    0.7
 30160.0   4199827.7  -279646.1 -5755578.1   82.0   29.5   41.7  0.493  0.028  0.015    9.1    0.9    1.7
 30460.0   2656240.8  1047634.6 -6531737.8  158.9   29.3   41.3  0.917  0.028  0.025    4.5    0.9    1.7
 30760.0    911451.5  2344854.9 -6667292.7   84.9   29.0   36.4  1.586  0.028  0.030    0.9    0.9    1.5
 31060.0   -868648.6  3490681.5 -6148436.1    8.4   28.8   34.1  0.264  0.028  0.036   56.8    0.9    1.3
 31360.0  -2519532.7  4370727.4 -5024950.6  103.3   28.7   36.2  0.378  0.028  0.042  103.2    0.9    1.0
 31660.0  -3893070.7  4889002.6 -3406003.0   94.1   28.6   42.7  0.337  0.028  0.050   78.2    0.9    0.4
 31960.0  -4870984.1  4978651.2 -1450271.5    9.4   28.5   45.6  0.283  0.028  0.052   26.2    0.8    2.1
 32260.0  -5375495.1  4610672.3   649186.5   29.4   28.4   48.2  0.437  0.027  0.046   56.6    0.8    0.7
 32560.0  -5375924.9  3799262.9  2684157.0  131.8   28.2   47.3  1.656  0.027  0.038   23.2    0.8    0.5
 32860.0  -4890261.1  2602650.3  4452589.8  119.2   27.9   50.5  1.177  0.027  0.034   28.5    0.8    2.4
 33160.0  -3981485.5  1119119.1  5779257.2   51.8   27.6   49.1  0.591  0.027  0.029   39.0    0.8    0.5
 33460.0  -2749379.0  -521381.5  6533335.8   40.8   27.3   46.1  0.254  0.027  0.030   48.2    0.8    4.0
 33760.0  -1319128.7 -2168959.2  6641047.3   58.3   27.1   39.8  0.138  0.027  0.036   80.5    0.8    0.1
 34060.0    171722.9 -3667666.7  6092469.4   20.8   27.0   30.8  0.234  0.027  0.045  108.8    0.8    3.7
 34360.0   1586644.6 -4870344.4  4942197.9   17.5   27.0   21.9  0.462  0.027  0.050   90.9    0.8    3.7
 34660.0   2802603.6 -5653179.8  3303969.2   51.4   27.1   16.7  0.281  0.027  0.049  100.3    0.8    0.4
 34960.0   3720766.9 -5928711.1  1339603.3   49.2   27.2   21.7  0.484  0.026  0.048   74.1    0.8    0.0
 35260.0   4274469.1 -5655785.7  -756947.4   47.5   27.3   30.2  0.204  0.026  0.043   64.8    0.7    3.3
