GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  4
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 10.0 m
 State noise velocity: 0.0100 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
   300.0  -2249237.1  3370124.8 -5867671.8   72.3  173.1   72.2  0.740  5.507  0.294   97.4 6128.0  125.0
   600.0  -2411673.6  1317003.1 -6577762.2   13.5  172.3   14.4  0.497  0.801  0.202  109.7  889.0  179.3
   900.0  -2431847.1  -860283.0 -6642857.7   48.4  157.7   38.7  0.272  0.409  0.126   94.7  461.8   70.3
  1200.0  -2308576.9 -2955968.6 -6055954.9   25.6  144.6   29.0  0.499  0.267  0.076   70.7  300.8  119.0
  1500.0  -2045457.7 -4771364.5 -4873456.0   53.2  133.8   39.9  0.290  0.199  0.076   54.7  217.3  126.5
  1800.0  -1651583.4 -6133826.1 -3210292.0   61.9  124.8   58.4  0.359  0.164  0.098   55.7  166.5  151.2
  2100.0  -1142298.4 -6913525.1 -1229659.2  253.6  117.3  110.1  1.499  0.144  0.064   59.6  132.7   83.8
  3152.0   1158092.9 -4558224.5  5327968.5  497.4* 312.6  177.4  6.794  0.360  0.248 1621.6  134.9   90.9
  3460.0   1817170.8 -2662874.4  6333612.7   51.9  128.2   47.9  0.495  0.139  0.152   82.3   70.7   14.4
  3760.0   2365873.9  -576307.0  6678532.6   85.8  106.2   36.8  0.490  0.124  0.156  127.2   63.5   26.4
  4060.0   2774501.9  1545888.0  6363221.0  103.0   96.6   75.0  0.745  0.118  0.148    4.9   61.8   24.6
  4360.0   3000272.2  3502610.1  5419303.7   59.4   92.6   98.1  0.149  0.113  0.124    3.0   62.3   11.7
  4660.0   3009916.0  5110800.5  3940231.5   38.8   91.4   96.5  0.282  0.108  0.100   64.1   63.6   35.8
  4960.0   2784071.2  6222808.5  2072203.7  679.4* 114.4  122.5  5.597  0.124  0.113   38.3   69.4   15.4
  5260.0   2321121.0  6740232.0     -383.1   47.6  101.6   87.1  0.112  0.108  0.033    5.4   67.1    0.3
  5560.0   1639735.9  6622996.0 -2072952.7   46.7   95.5   75.0  0.405  0.102  0.028   71.8   66.5   18.3
  5860.0    779531.2  5892207.1 -3941493.0   30.8   91.9   64.3  2.949  0.101  0.008  166.4   66.1   21.8
  6160.0   -200443.0  4626744.8 -5422735.0   19.2   89.4   55.9  0.946  0.102  0.014  159.8   65.9   27.4
  6460.0  -1225189.1  2954358.8 -6371869.5   46.4   87.8   45.3  0.366  0.102  0.026   73.4   65.9    5.9
  6760.0  -2209156.9  1038317.7 -6696170.0   76.3   87.0   27.8  0.265  0.102  0.038   82.2   66.0   10.9
  7060.0  -3063137.5  -938620.8 -6363541.6   46.7   86.7   16.7  0.447  0.102  0.044   27.7   66.1    8.0
  7360.0  -3702060.7 -2791236.7 -5405641.4   20.3   86.9    8.9  0.205  0.101  0.043   83.1   66.2   24.4
  7660.0  -4053487.5 -4349088.7 -3915255.4   65.2   87.1   21.7  0.219  0.100  0.040   94.6   66.3    2.9
  7960.0  -4065908.7 -5472262.0 -2038048.1   67.4   87.3   32.5  0.202  0.100  0.030   69.9   66.3    0.1
  8260.0  -3715933.9 -6064482.5    41012.1   45.4   87.3   27.8  0.487  0.099  0.022   56.3   66.3    4.4
  8560.0  -3013147.8 -6082143.2  2115945.2   18.9   87.1   29.9  0.904  0.099  0.025   44.9   66.2    5.4
  8860.0  -2001753.8 -5537626.9  3980747.0   34.4   86.7   19.9  0.346  0.099  0.033   37.7   66.1    9.7
  9160.0   -758384.3 -4496732.9  5450469.6   32.3   86.4   12.1  0.947  0.099  0.035   33.1   66.1   13.6
  9460.0    613631.3 -3070505.0  6379934.4   81.1   86.1   17.5  0.383  0.099  0.039   47.2   66.1   50.7
  9760.0   1993095.7 -1402684.5  6677919.6   81.5   86.0   20.1  0.514  0.099  0.049  138.7   66.1    7.4
 10060.0   3251702.4   345119.9  6315748.1   45.2   86.0   33.4  1.218  0.099  0.066  144.6   66.1   21.1
 10360.0   4266074.6  2009362.1  5329689.4   66.5   86.0   48.2  0.648  0.099  0.061  140.2   66.1   28.2
 10660.0   4929941.5  3439889.6  3817320.4   38.7   86.1   46.1  0.571  0.099  0.044   82.2   66.2    0.9
 10960.0   5165420.5  4513585.7  1928112.4   97.2   86.1   67.0  0.214  0.098  0.093   19.8   66.2    2.1
 11260.0   4932134.5  5145036.1  -151416.5   58.5   86.1   44.7  0.421  0.098  0.065   67.8   66.1    4.7
 11560.0   4233146.0  5293312.4 -2216080.1  149.7   86.1   44.6  0.513  0.098  0.050   65.0   66.1   30.7
 11860.0   3116510.5  4964017.0 -4062624.6   75.9   86.0   51.8  1.131  0.098  0.063    0.9   66.0   42.4
 12160.0   1672013.4  4206443.3 -5509986.5   64.9   85.9   44.0  0.265  0.098  0.063   23.2   65.9   37.6
 12460.0     23943.5  3106688.8 -6416661.9   88.0   85.9   61.5  0.273  0.098  0.071   23.1   65.8   43.6
 12760.0  -1679577.1  1777825.3 -6694090.0   77.9   85.8   49.8  0.343  0.098  0.060   84.1   65.8    9.3
 13060.0  -3279818.8   348091.7 -6314715.7   41.2   85.8   49.3  0.675  0.098  0.063   90.4   65.8    4.8
 13360.0  -4621865.1 -1051172.5 -5314726.2   36.3   85.8   49.6  0.140  0.098  0.060   52.1   65.9   25.6
 13660.0  -5569570.8 -2297419.4 -3791055.7   47.2   85.8   48.0  0.321  0.098  0.045   21.0   66.0   26.7
 13960.0  -6019674.2 -3287593.1 -1892776.3   64.6   85.8   52.0  0.265  0.098  0.028   35.5   66.1    9.3
 14260.0  -5913623.7 -3946755.6   193001.6   41.9   85.8   51.1  0.370  0.098  0.023   32.0   66.1   23.4
 14560.0  -5245505.3 -4233901.4  2259578.3   70.8   85.8   55.8  0.896  0.098  0.023   65.8   66.1    2.3
 14860.0  -4064516.5 -4144057.6  4101765.3   60.3   85.8   55.3  0.170  0.098  0.014   85.6   66.1   19.6
 15160.0  -2471428.8 -3706547.6  5536891.1  117.2   85.8   61.0  1.458  0.098  0.060   56.7   66.0   12.8
 15460.0   -609671.0 -2979884.6  6423256.7   46.2   85.8   54.0  0.348  0.098  0.085   85.0   66.0   25.4
 15760.0   1348409.0 -2043996.3  6673947.1   15.4   85.8   45.8  0.210  0.098  0.080    3.9   66.0    8.6
 16060.0   3217716.0  -991247.0  6264950.1   66.1   85.8   23.1  0.440  0.098  0.038   67.9   66.0    4.5
 16360.0   4818036.1    82816.4  5237111.9   34.4   85.8   13.4  0.420  0.098  0.053   58.7   66.1   42.4
 16660.0   5991528.3  1088072.8  3692126.3   42.9   85.8   22.1  0.772  0.098  0.051   25.7   66.2   58.6
 16960.0   6618577.6  1947292.7  1782635.9   49.0   85.8   34.1  0.183  0.098  0.044   34.8   66.2   51.9
 17260.0   6630339.7  2601777.5  -302792.4   43.0   85.8   28.0  0.383  0.098  0.041   96.4   66.1   37.4
 17560.0   6016581.9  3014809.9 -2358398.3   37.7   85.8   33.6  0.740  0.098  0.044   80.2   66.0   24.7
 17860.0   4827367.3  3172692.9 -4181925.6   71.0   85.8   43.4  0.112  0.098  0.036   40.4   65.9   34.3
 18160.0   3168662.2  3083375.8 -5594580.0   35.3   85.8   43.0  0.259  0.098  0.017   23.7   65.8   24.8
 18460.0   1192503.5  2773200.3 -6458272.6   67.8   85.8   39.9  0.284  0.098  0.031   47.7   65.8   10.1
 18760.0   -917297.8  2282409.5 -6688569.6   71.5   85.8   30.4  0.485  0.098  0.040  107.7   65.8    4.1
 19060.0  -2962023.8  1660187.3 -6262542.2   43.6   85.8   23.5  0.301  0.098  0.057  126.7   65.8   22.2
 19360.0  -4746539.6   959736.0 -5220859.3   33.5   85.8   15.4  0.157  0.098  0.054   89.7   65.9    4.8
 19660.0  -6097682.1   234033.7 -3664661.7   87.1   85.8   42.4  0.739  0.098  0.085    8.3   66.0    4.2
 19960.0  -6881515.8  -467897.6 -1746200.4   20.1   85.8   47.6  0.336  0.098  0.089    4.5   66.1   13.9
 20260.0  -7017429.8 -1103631.5   345271.9   54.4   85.8   48.6  0.819  0.098  0.059   26.6   66.1   10.5
 20560.0  -6487342.5 -1639182.9  2402420.5   39.4   85.8   41.0  0.443  0.098  0.057   34.7   66.1   18.7
 20860.0  -5338322.4 -2049857.4  4220990.4   11.8   85.8   30.7  0.814  0.098  0.054   67.7   66.1   15.1
 21160.0  -3678193.4 -2320031.5  5620700.2   39.1   85.8   14.1  1.196  0.098  0.037   66.0   66.0   31.0
 21460.0  -1664706.1 -2442314.6  6463393.1   16.1   85.8    8.6  0.185  0.098  0.027   70.0   66.0   13.9
 21760.0    510282.0 -2416282.3  6666501.6   72.8   85.8    7.7  0.078  0.098  0.022   57.7   66.0    8.3
 22060.0   2639482.5 -2247332.5  6210715.1   62.4   85.8   18.0  0.399  0.098  0.041   54.4   66.1   46.0
 22360.0   4520178.0 -1945725.0  5141454.5   65.7   85.8   24.0  0.339  0.098  0.035   82.7   66.1   50.6
 22660.0   5973536.6 -1526306.5  3564514.7    4.8   85.8   19.6  0.169  0.098  0.018   54.7   66.2   19.9
 22960.0   6861934.2 -1008519.8  1635679.2   28.6   85.8    9.7  0.332  0.098  0.031   32.9   66.2   22.9
 23260.0   7102423.3  -416631.1  -454559.3   31.3   85.8   17.9  0.174  0.098  0.051    9.6   66.1   27.9
 23560.0   6674757.2   220143.9 -2500044.8   29.2   85.8   27.8  0.287  0.098  0.059    5.6   66.0   22.3
 23860.0   5622972.2   867799.1 -4299534.7   20.8   85.8   31.8  0.320  0.098  0.047    5.7   65.9    3.6
 24160.0   4050394.4  1488252.0 -5676618.1   31.9   85.8   36.9  0.279  0.098  0.024   27.8   65.8    6.1
 24460.0   2108876.0  2040627.1 -6496711.0   39.1   85.8   38.9  0.428  0.098  0.018   24.1   65.8    8.8
 24760.0    -16180.9  2483287.1 -6679650.0   72.8   85.8   38.2  0.565  0.098  0.028   11.6   65.8    7.6
 25060.0  -2123505.3  2776585.9 -6207034.5   54.7   85.8   43.3  0.621  0.098  0.056   68.2   65.8   10.6
 25360.0  -4014653.2  2886332.2 -5124140.2   73.6   85.8   50.3  0.541  0.098  0.072   65.2   65.9   24.2
 25660.0  -5512508.2  2787705.5 -3536082.9    6.2   85.8   39.3  0.221  0.098  0.057    0.8   66.0    7.5
 25960.0  -6478237.3  2469320.9 -1598444.8   63.1   85.8   34.4  0.322  0.098  0.043   56.1   66.1   12.5
 26260.0  -6824991.2  1936650.5   497572.8   25.5   85.8   34.3  0.493  0.098  0.036   31.6   66.1   12.2
 26560.0  -6526493.8  1214159.7  2544155.9   64.1   85.8   36.9  0.338  0.098  0.026   21.5   66.1   18.9
 26860.0  -5619333.7   345588.3  4338088.7   43.2   85.8   39.3  0.764  0.098  0.020   54.3   66.1    9.4
 27160.0  -4198416.7  -607982.6  5701587.5   22.0   85.8   36.4  1.622  0.098  0.020   45.2   66.0   14.8
 27460.0  -2406376.5 -1572066.8  6500145.6   58.2   85.8   25.0  7.942  0.098  0.030   57.8   66.0    6.1
