TDRS Orbit Determination

341 measurements read from tracking data file

Iteration 1

     Date         UTC        Sta TDRS   obs  [m]    comp [m]    o-c [m]
  1999/09/01  00:22:01.000   162   5   79010.2586  79010.2408    17.83
  1999/09/01  00:22:31.000   162   5   78980.4438  78980.4234    20.40
  1999/09/01  00:23:01.000   162   5   78954.4798  78954.4567    23.11
  1999/09/01  00:23:31.000   162   5   78932.3844  78932.3592    25.20
  1999/09/01  00:24:01.000   162   5   78914.1732  78914.1451    28.07
  1999/09/01  00:24:31.000   162   5   78899.8554  78899.8243    31.15
  1999/09/01  00:25:01.000   162   5   78889.4362  78889.4019    34.29
  1999/09/01  00:25:31.000   162   5   78882.9168  78882.8791    37.74
  1999/09/01  00:26:01.000   162   5   78880.2936  78880.2522    41.37
  1999/09/01  00:26:31.000   162   5   78881.5586  78881.5136    45.01
  1999/09/01  00:27:01.000   162   5   78886.6999  78886.6509    48.97
  1999/09/01  00:27:31.000   162   5   78895.7004  78895.6478    52.65
  1999/09/01  00:28:01.000   162   5   78908.5399  78908.4833    56.63
  1999/09/01  00:28:31.000   162   5   78925.1932  78925.1325    60.71
  1999/09/01  00:29:01.000   162   5   78945.6304  78945.5663    64.11
  1999/09/01  00:29:31.000   162   5   78969.8199  78969.7514    68.47
  1999/09/01  00:30:01.000   162   5   78997.7247  78997.6507    73.97
  1999/09/01  00:30:31.000   162   5   79029.3031  79029.2231    80.03
  1999/09/01  02:40:01.000   161   4   78681.9981  78682.6133  -615.23
  1999/09/01  02:40:31.000   161   4   78628.7893  78629.3512  -561.92
  1999/09/01  02:41:01.000   161   4   78580.0788  78580.5854  -506.58
  1999/09/01  02:41:31.000   161   4   78535.9086  78536.3611  -452.54
  1999/09/01  02:42:01.000   161   4   78496.3209  78496.7182  -397.27
  1999/09/01  02:42:31.000   161   4   78461.3516  78461.6903  -338.75
  1999/09/01  02:43:01.000   161   4   78431.0270  78431.3057  -278.74
  1999/09/01  02:43:31.000   161   4   78405.3617  78405.5865  -224.84
  1999/09/01  02:44:01.000   161   4   78384.3815  78384.5490  -167.54
  1999/09/01  02:44:31.000   161   4   78368.0953  78368.2036  -108.29
  1999/09/01  02:45:01.000   161   4   78356.5069  78356.5546   -47.72
  1999/09/01  02:45:31.000   161   4   78349.6149  78349.6006    14.26
  1999/09/01  02:46:01.000   161   4   78347.4102  78347.3342    75.96
  1999/09/01  02:46:31.000   161   4   78349.8820  78349.7422   139.84
  1999/09/01  02:47:01.000   161   4   78357.0110  78356.8053   205.67
  1999/09/01  02:47:31.000   161   4   78368.7652  78368.4989   266.29
  1999/09/01  02:48:01.000   161   4   78385.1170  78384.7924   324.58
  1999/09/01  02:48:31.000   161   4   78406.0352  78405.6498   385.41
  1999/09/01  02:49:01.000   161   4   78431.4768  78431.0295   447.32
  1999/09/01  02:49:31.000   161   4   78461.3935  78460.8846   508.90
  1999/09/01  02:50:01.000   161   4   78495.7337  78495.1630   570.66
  1999/09/01  02:50:31.000   161   4   78534.4401  78533.8076   632.47
  1999/09/01  02:51:01.000   161   4   78577.4498  78576.7562   693.57
  1999/09/01  03:56:01.000   162   5   77781.1765  77781.8777  -701.16
  1999/09/01  03:56:31.000   162   5   77729.3331  77729.9393  -606.17
  1999/09/01  03:57:01.000   162   5   77682.8479  77683.3605  -512.63
  1999/09/01  03:57:31.000   162   5   77641.8067  77642.2224  -415.69
  1999/09/01  03:58:01.000   162   5   77606.2840  77606.5987  -314.69
  1999/09/01  03:58:31.000   162   5   77576.3428  77576.5560  -213.18
  1999/09/01  03:59:01.000   162   5   77552.0388  77552.1533  -114.49
  1999/09/01  03:59:31.000   162   5   77533.4317  77533.4420   -10.25
  1999/09/01  04:00:01.000   162   5   77520.5629  77520.4654    97.46
  1999/09/01  04:00:31.000   162   5   77513.4566  77513.2592   197.40
  1999/09/01  04:01:01.000   162   5   77512.1553  77511.8506   304.72
  1999/09/01  04:01:31.000   162   5   77516.6724  77516.2587   413.73
  1999/09/01  04:02:01.000   162   5   77527.0114  77526.4943   517.13
  1999/09/01  04:02:31.000   162   5   77543.1870  77542.5599   627.15
  1999/09/01  04:03:01.000   162   5   77565.1838  77564.4495   734.30
  1999/09/01  04:03:31.000   162   5   77592.9899  77592.1489   840.96
  1999/09/01  04:04:01.000   162   5   77626.5858  77625.6356   950.22
  1999/09/01  04:04:31.000   162   5   77665.9351  77664.8785  1056.57
  1999/09/01  04:05:01.000   162   5   77711.0033  77709.8387  1164.57
  1999/09/01  04:05:31.000   162   5   77761.7406  77760.4690  1271.58
  1999/09/01  04:06:01.000   162   5   77818.0902  77816.7143  1375.93
  1999/09/01  04:06:31.000   162   5   77879.9939  77878.5116  1482.35
  1999/09/01  04:07:01.000   162   5   77947.3784  77945.7903  1588.10
  1999/09/01  04:07:31.000   162   5   78020.1610  78018.4725  1688.52
  1999/09/01  04:08:01.000   162   5   78098.2628  78096.4728  1789.97
  1999/09/01  04:08:31.000   162   5   78181.5910  78179.6991  1891.92
  1999/09/01  04:09:01.000   162   5   78270.0422  78268.0522  1990.01
  1999/09/01  04:09:31.000   162   5   78363.5109  78361.4266  2084.30
  1999/09/01  04:10:01.000   162   5   78461.8894  78459.7105  2178.89
  1999/09/01  05:36:01.000   162   5   76736.2471  76738.0478 -1800.72
  1999/09/01  05:36:31.000   162   5   76654.1239  76655.7544 -1630.49
  1999/09/01  05:37:01.000   162   5   76578.8077  76580.2676 -1459.93
  1999/09/01  05:37:31.000   162   5   76510.4333  76511.7160 -1282.72
  1999/09/01  05:38:01.000   162   5   76449.1124  76450.2181 -1105.67
  1999/09/01  05:38:31.000   162   5   76394.9686  76395.8819  -913.27
  1999/09/01  05:39:01.000   162   5   76348.0665  76348.8047  -738.19
  1999/09/01  05:39:31.000   162   5   76308.5219  76309.0727  -550.76
  1999/09/01  05:40:01.000   162   5   76276.4056  76276.7604  -354.79
  1999/09/01  05:40:31.000   162   5   76251.7614  76251.9307  -169.34
  1999/09/01  05:41:01.000   162   5   76234.6589  76234.6346    24.34
  1999/09/01  05:41:31.000   162   5   76225.1367  76224.9105   226.20
  1999/09/01  05:42:01.000   162   5   76223.2014  76222.7848   416.56
  1999/09/01  05:42:31.000   162   5   76228.8829  76228.2714   611.47
  1999/09/01  05:43:01.000   162   5   76242.1796  76241.3716   808.04
  1999/09/01  05:43:31.000   162   5   76263.0810  76262.0740  1006.96
  1999/09/01  05:44:01.000   162   5   76291.5593  76290.3552  1204.14
  1999/09/01  05:44:31.000   162   5   76327.5749  76326.1788  1396.08
  1999/09/01  05:45:01.000   162   5   76371.0872  76369.4967  1590.53
  1999/09/01  08:09:01.000   161   4   76907.5029  76904.8689  2634.03
  1999/09/01  08:09:31.000   161   4   76975.2622  76972.3882  2874.05
  1999/09/01  08:10:01.000   161   4   77049.5331  77046.4177  3115.44
  1999/09/01  08:10:31.000   161   4   77130.2047  77126.8591  3345.61
  1999/09/01  08:11:01.000   161   4   77217.1847  77213.6049  3579.77
  1999/09/01  08:11:31.000   161   4   77310.3383  77306.5388  3799.45
